LIPID_ID,IL_SMILES,IL_head_id,IL_head_SMILES,Tail1_id,Tail1_SMILES,Tail2_id,Tail2_SMILES,Tail3_id,Tail3_SMILES,Tail4_id,Tail4_SMILES,Active_Site_Class,N_Tails,ARCHITECTURE,REACTION_TYP
LNPhub_3V00000021,CCCCCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCCCCC)c1cccc(F)c1N(C)CCC(=O)OCCCCCC,M883,CNc1c(N)cccc1F,O6,C=CC(=O)OCCCCCC,O17,C=CC(=O)OCCCCCCCCCCCCCCCCC,O17,C=CC(=O)OCCCCCCCCCCCCCCCCC,,,PRIMARY_SECONDARY,3.0,ARCH_HEAD_3_TAILS,AZA_MICHAEL_ADDITION
LNPhub_3V00000022,CCCCCCCCCCCCCCCCCOC(=O)CCN(c1nnc(N(CCC(=O)OCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCC)[nH]1)C1CCOc2ccccc21,M2208,Nc1nnc(NC2CCOc3ccccc32)[nH]1,O14,C=CC(=O)OCCCCCCCCCCCCCC,O14,C=CC(=O)OCCCCCCCCCCCCCC,O17,C=CC(=O)OCCCCCCCCCCCCCCCCC,,,PRIMARY_SECONDARY,3.0,ARCH_HEAD_3_TAILS,AZA_MICHAEL_ADDITION
LNPhub_3V00000023,CCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCC)c1nc(-c2ccnc(N(CCC(=O)OCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCC)c2)nn1C,M435,Cn1nc(-c2ccnc(N)c2)nc1N,O12,C=CC(=O)OCCCCCCCCCCCC,O12,C=CC(=O)OCCCCCCCCCCCC,O13,C=CC(=O)OCCCCCCCCCCCCC,O13,C=CC(=O)OCCCCCCCCCCCCC,PRIMARY_PRIMARY,4.0,ARCH_HEAD_4_TAILS,AZA_MICHAEL_ADDITION
LNPhub_3V00000024,CCCCCCCCCCCCCCCCCCCCOC(=O)CCN(C)CCCCN(C)CCCCN(CCC(=O)OCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCC,M1292,CNCCCCN(C)CCCCN,O20,C=CC(=O)OCCCCCCCCCCCCCCCCCCCC,O13,C=CC(=O)OCCCCCCCCCCCCC,O13,C=CC(=O)OCCCCCCCCCCCCC,,,PRIMARY_SECONDARY,3.0,ARCH_HEAD_3_TAILS,AZA_MICHAEL_ADDITION
LNPhub_3V00000025,CCCCCCCCCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCCCCCCCCC)CC(c1ccccc1)N(C)CCC(=O)OCCCCCCCCCCCCCCCCC,M1963,CNC(CN)c1ccccc1,O17,C=CC(=O)OCCCCCCCCCCCCCCCCC,O21,C=CC(=O)OCCCCCCCCCCCCCCCCCCCCC,O21,C=CC(=O)OCCCCCCCCCCCCCCCCCCCCC,,,PRIMARY_SECONDARY,3.0,ARCH_HEAD_3_TAILS,AZA_MICHAEL_ADDITION
LNPhub_3V00000026,CCCCCCCCCCCCCCCCCOC(=O)CCN(CC(C)(C)N(CCC(=O)OCCCCCC)CCC(=O)OCCCCCC)c1ncnc2ccc(F)cc12,M1577,CC(C)(N)CNc1ncnc2ccc(F)cc12,O6,C=CC(=O)OCCCCCC,O6,C=CC(=O)OCCCCCC,O17,C=CC(=O)OCCCCCCCCCCCCCCCCC,,,PRIMARY_SECONDARY,3.0,ARCH_HEAD_3_TAILS,AZA_MICHAEL_ADDITION
LNPhub_3V00000027,CCCCCCCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCCCCCCC)c1cc2c(cc1N(CCC(=O)OCCCCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCCCCC)NC(=O)C2,M749,Nc1cc2c(cc1N)NC(=O)C2,O19,C=CC(=O)OCCCCCCCCCCCCCCCCCCC,O19,C=CC(=O)OCCCCCCCCCCCCCCCCCCC,O17,C=CC(=O)OCCCCCCCCCCCCCCCCC,O17,C=CC(=O)OCCCCCCCCCCCCCCCCC,PRIMARY_PRIMARY,4.0,ARCH_HEAD_4_TAILS,AZA_MICHAEL_ADDITION
LNPhub_3V00000028,CCCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCCC)c1c(Br)cccc1N(CC)CCC(=O)OCCCCCCCCCC,M1780,CCNc1cccc(Br)c1N,O10,C=CC(=O)OCCCCCCCCCC,O15,C=CC(=O)OCCCCCCCCCCCCCCC,O15,C=CC(=O)OCCCCCCCCCCCCCCC,,,PRIMARY_SECONDARY,3.0,ARCH_HEAD_3_TAILS,AZA_MICHAEL_ADDITION
LNPhub_3V00000029,CCCCCCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCCCCCC)CCN1CCC(c2ccc(N(CCC(=O)OCCCCCCCCCCC)c3nc(N4CCCCC4)cnc3C(N)=O)cc2)CC1,M2023,NCCN1CCC(c2ccc(Nc3nc(N4CCCCC4)cnc3C(N)=O)cc2)CC1,O18,C=CC(=O)OCCCCCCCCCCCCCCCCCC,O18,C=CC(=O)OCCCCCCCCCCCCCCCCCC,O11,C=CC(=O)OCCCCCCCCCCC,,,PRIMARY_SECONDARY,3.0,ARCH_HEAD_3_TAILS,AZA_MICHAEL_ADDITION
LNPhub_3V00000030,CCCCCCCCCCOC(=O)CCN(CC)CC1(CN(CCC(=O)OCCCCCCCCC)CCC(=O)OCCCCCCCCC)CCN(Cc2ccccc2)CC1,M1908,CCNCC1(CN)CCN(Cc2ccccc2)CC1,O10,C=CC(=O)OCCCCCCCCCC,O9,C=CC(=O)OCCCCCCCCC,O9,C=CC(=O)OCCCCCCCCC,,,PRIMARY_SECONDARY,3.0,ARCH_HEAD_3_TAILS,AZA_MICHAEL_ADDITION
