LIPID_ID,IL_SMILES,IL_head_id,IL_head_SMILES,Tail1_id,Tail1_SMILES,Tail2_id,Tail2_SMILES,ARCHITECTURE,REACTION_TYP
LNPhub_1V00000039,CCCCCCCCC=CCCCCCCCCNC(=O)C(NCc1cccc(-c2ccccc2OC)c1)c1cc2ccoc2cc1O,A629,COc1ccccc1-c1cccc(CN)c1,B105,O=Cc1cc2ccoc2cc1O,C4,[C-]#[N+]CCCCCCCCC=CCCCCCCCC,ARCH_HEAD_TAILA_TAILB,3CR
LNPhub_1V00000040,C#CCCCCCCCCC(=O)OCCCCCC(NC[C@@]12COC[C@@H](CO1)C2)C(=O)NCCCCCCCC/C=C\CCCCCCCC,A573,NC[C@@]12COC[C@@H](CO1)C2,B1,C#CCCCCCCCCC(=O)OCCCCCC=O,C8,[C-]#[N+]CCCCCCCC/C=C\CCCCCCCC,ARCH_HEAD_TAILA_TAILB,3CR
LNPhub_1V00000041,CCCCCCCCCCCCNC(=O)C(NC(=O)NCCCN)c1c(C(N)=O)cn2c1CCCC2,A984,NCCCNC(N)=O,B99,NC(=O)c1cn2c(c1C=O)CCCC2,C5,[C-]#[N+]CCCCCCCCCCCC,ARCH_HEAD_TAILA_TAILB,3CR
LNPhub_1V00000042,CCCCCCCCCCCCCCCCCCNC(=O)C(NCCCN1CCCCC1CC)c1c[nH]c2cc(NC(=O)OC(C)(C)C)ccc12,A307,CCC1CCCCN1CCCN,B118,CC(C)(C)OC(=O)Nc1ccc2c(C=O)c[nH]c2c1,C2,[C-]#[N+]CCCCCCCCCCCCCCCCCC,ARCH_HEAD_TAILA_TAILB,3CR
LNPhub_1V00000043,CCCCCCCCCCCCCCCCNC(=O)C(N[C@H]1CCCc2cccnc21)c1cc(C(N)=O)c(F)cc1F,A548,N[C@H]1CCCc2cccnc21,B41,NC(=O)c1cc(C=O)c(F)cc1F,C3,[C-]#[N+]CCCCCCCCCCCCCCCC,ARCH_HEAD_TAILA_TAILB,3CR
LNPhub_1V00000044,CCCCCCCCCCCCCCNC(=O)C(NCCNCCN(CC)CC)c1ccc(C(=O)OC)c([N+](=O)[O-])c1,A325,CCN(CC)CCNCCN,B110,COC(=O)c1ccc(C=O)cc1[N+](=O)[O-],C7,[C-]#[N+]CCCCCCCCCCCCCC,ARCH_HEAD_TAILA_TAILB,3CR
LNPhub_1V00000045,CCCCCCCCCCCCNC(=O)C(NCCCCNC(=O)c1ccc(OC)c(N2CCC(=O)NC2=O)c1)c1c(F)ccnc1OC,A712,COc1ccc(C(=O)NCCCCN)cc1N1CCC(=O)NC1=O,B113,COc1nccc(F)c1C=O,C5,[C-]#[N+]CCCCCCCCCCCC,ARCH_HEAD_TAILA_TAILB,3CR
LNPhub_1V00000046,CCCCCCCCCCCNC(=O)C(Nc1ccc(OCC(F)F)cn1)[C@@H]1C[C@H]1c1cccc(F)c1,A492,Nc1ccc(OCC(F)F)cn1,B107,O=C[C@@H]1C[C@H]1c1cccc(F)c1,C1,[C-]#[N+]CCCCCCCCCCC,ARCH_HEAD_TAILA_TAILB,3CR
LNPhub_1V00000047,CCCCCCCCCCCCNC(=O)C(Nc1c(C(=O)OC(C)(C)C)sc2c1CCCC2)c1ncc(C(=O)OC)cc1F,A715,CC(C)(C)OC(=O)c1sc2c(c1N)CCCC2,B59,COC(=O)c1cnc(C=O)c(F)c1,C5,[C-]#[N+]CCCCCCCCCCCC,ARCH_HEAD_TAILA_TAILB,3CR
LNPhub_1V00000048,CCCCCCCCCCCCCCCCCCNC(=O)C(Nc1ccc(F)c(F)c1)c1ccc(C(N)=O)c(F)c1F,A141,Nc1ccc(F)c(F)c1,B106,NC(=O)c1ccc(C=O)c(F)c1F,C2,[C-]#[N+]CCCCCCCCCCCCCCCCCC,ARCH_HEAD_TAILA_TAILB,3CR
LNPhub_1V00000049,CNC(=O)c1nnn(C)c1C(NCCOCCN1CCCC1)C(=O)NCCCN(C)C,A245,NCCOCCN1CCCC1,B71,CNC(=O)c1nnn(C)c1C=O,C9,[C-]#[N+]CCCN(C)C,ARCH_HEAD_TAILA_TAILB,3CR
LNPhub_1V00000050,CCCCCCCCCCCCNC(=O)C(NCc1c(NCCCN2CCOCC2)nc(-c2ccccc2)c2c1CCCC2)c1ncc(CC)cn1,A846,N#Cc1c(NCCCN2CCOCC2)nc(-c2ccccc2)c2c1CCCC2,B169,CCc1cnc(C=O)nc1,C5,[C-]#[N+]CCCCCCCCCCCC,ARCH_HEAD_TAILA_TAILB,3CR
LNPhub_1V00000051,[C-]#[N+]CCN(CC[N+]#[C-])CCNC(=O)C(N[C@H]1CC[C@@](C)(C(=O)OC)CC1)c1cc(OC(=O)CCCCCCCCC)cc(OC(=O)CCCCCCCCC)c1,A485,COC(=O)[C@]1(C)CC[C@@H](N)CC1,B26,CCCCCCCCCC(=O)Oc1cc(C=O)cc(OC(=O)CCCCCCCCC)c1,C11,[C-]#[N+]CCN(CC[N+]#[C-])CC[N+]#[C-],ARCH_HEAD_TAILA_TAILB,3CR
LNPhub_1V00000052,CCCCCCCC/C=C\CCCCCCCCNC(=O)C(NC(CC1CC1)c1ccc(OC)cc1)C1CN(C(=O)OC(C)(C)C)CCN1C(=O)OCc1ccccc1,A390,COc1ccc(C(N)CC2CC2)cc1,B98,CC(C)(C)OC(=O)N1CCN(C(=O)OCc2ccccc2)C(C=O)C1,C8,[C-]#[N+]CCCCCCCC/C=C\CCCCCCCC,ARCH_HEAD_TAILA_TAILB,3CR
LNPhub_1V00000053,CCCCCCCCCCCCNC(=O)C(Nc1cnn(CCS(=O)(=O)C(C)(C)C)c1)c1coc(C(F)F)n1,A498,CC(C)(C)S(=O)(=O)CCn1cc(N)cn1,B188,O=Cc1coc(C(F)F)n1,C5,[C-]#[N+]CCCCCCCCCCCC,ARCH_HEAD_TAILA_TAILB,3CR
LNPhub_1V00000054,CCCCCCCCCCCCNC(=O)C(Nc1c(F)cc(O)c(F)c1F)c1cc(Br)n(C)n1,A545,Nc1c(F)cc(O)c(F)c1F,B52,Cn1nc(C=O)cc1Br,C5,[C-]#[N+]CCCCCCCCCCCC,ARCH_HEAD_TAILA_TAILB,3CR
LNPhub_1V00000055,CCCCCCCC=CC(=O)OCCCCCC(NCCc1ccnc(O)n1)C(=O)NCCCCCCCCC=CCCCCCCCC,A687,NCCc1ccnc(O)n1,B18,CCCCCCCC=CC(=O)OCCCCCC=O,C4,[C-]#[N+]CCCCCCCCC=CCCCCCCCC,ARCH_HEAD_TAILA_TAILB,3CR
